Name,Quantity,Component
"U1",1," Arduino Uno R3"
"PIEZO1",1," Piezo"
"GAS1",1," Gas Sensor"
"U2",1," LCD 16 x 2"
"D1",1,"Red LED"
"D2",1,"Green LED"
"R1, R5",2,"1 kΩ Resistor"
"R2, R3",2,"220 Ω Resistor"
"R4",1,"470 Ω Resistor"
